Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	Q1val	Q2val	Time	remian_mins
1	57.831726	22.43094	89.03444	28.927639	131.14285	1000	23.300545	10.536149	38.185856	15.2779665	57.333332	0.36940756	0.07478704	1.4441245	-2.8608596	-2.8659976	4.673078775405884	155.69138403733572
2	13.315772	7.0684934	41.112144	5.292788	41.307693	2000	8.220662	3.6487083	12.506162	3.5888402	29.0	0.043705408	0.045302216	0.82664835	-1.6647803	-1.6643074	10.50612497329712	174.9269609570503
3	9.27282	3.0504715	15.747461	3.374254	36.25926	3000	13.728631	3.7894626	18.835882	9.768936	45.666668	0.02280227	0.028635195	0.16510458	-0.48361433	-0.4833366	16.16789984703064	179.37385870085822
4	10.979595	5.4553437	31.356987	3.7644107	41.08	4000	9.569964	1.0323884	11.004875	8.619032	42.333332	0.020227188	0.024146698	-0.32864282	0.5182834	0.51821107	21.970564603805542	182.72185237407683
5	11.825144	5.005604	21.340235	2.730259	42.333332	5000	36.41084	17.8892	60.926846	18.743654	77.333336	0.022007026	0.020656541	-0.6243159	1.1342396	1.1346772	26.559288501739502	176.61926219463348
6	271.9635	337.85745	749.7131	26.923546	367.66666	6000	56.122406	15.27018	77.716995	45.173862	95.0	0.026187468	0.023676569	-1.2876753	2.3141522	2.3154433	33.018359422683716	182.88502017392054
7	501.72137	0.0	501.72137	501.72137	771.0	7000	265.48276	329.11984	730.6479	18.905106	363.66666	0.026519965	0.024220943	-1.9762952	3.6821485	3.6833205	38.38996887207031	182.16953710998808
8	107.6311	83.01704	269.5204	43.33687	183.0	8000	275.78348	246.08444	613.6513	34.597748	384.66666	0.035485532	0.031508964	-2.4844658	4.644656	4.6460547	44.50034832954407	184.67644160985947
9	510.32434	0.0	510.32434	510.32434	852.0	9000	771.95184	91.37758	867.22766	648.70514	1000.0	0.063160904	0.0588397	-3.273929	6.1907816	6.192324	51.79251670837402	190.96092382890208
10	248.79727	312.65915	789.7972	48.773796	347.75	10000	542.6209	273.0453	764.51276	157.9898	752.6667	0.069227085	0.062177513	-4.089522	7.8182163	7.820008	61.031853437423706	202.42230994701384
11	419.7251	320.99014	740.7153	98.73495	578.5	11000	315.8976	402.02353	884.10315	14.729858	388.33334	0.07411749	0.0666569	-4.911695	9.464708	9.465824	68.36716818809509	206.03378197496588
12	63.23578	48.33008	111.56586	14.905697	81.0	12000	552.7786	303.956	891.1471	153.9992	666.3333	0.08037581	0.07670103	-5.246338	10.150918	10.151173	71.67169260978699	197.89350418382222
13	900.0297	0.0	900.0297	900.0297	1000.0	13000	522.044	334.3155	824.91956	56.201897	677.3333	0.08319437	0.07724717	-5.7253876	11.11478	11.115384	79.09884214401245	201.49922688649252
14	597.56525	233.94147	831.5067	363.62378	752.5	14000	576.1597	395.95416	861.1557	16.226124	683.0	0.083483875	0.07596317	-6.555627	12.761829	12.762373	88.57952213287354	209.4272965022496
15	850.60284	0.0	850.60284	850.60284	1000.0	15000	849.9121	20.462412	867.3065	821.18634	1000.0	0.095265165	0.08660281	-7.4227324	14.464564	14.465237	96.58169603347778	213.0162936223878
16	811.0006	0.0	811.0006	811.0006	1000.0	16000	499.52173	303.2712	921.3964	221.67836	615.3333	0.10387808	0.09522716	-8.02945	15.654551	15.655402	103.65168476104736	214.21347986857097
17	903.25134	0.0	903.25134	903.25134	1000.0	17000	710.67706	155.20256	927.3333	571.90533	807.6667	0.12192262	0.11351769	-8.884983	17.343027	17.343597	111.13306593894958	216.0557528096087
18	944.23663	0.0	944.23663	944.23663	1000.0	18000	617.1268	426.69843	920.52234	13.687208	692.0	0.12808214	0.11950726	-9.692842	18.927567	18.927801	118.28159427642822	217.06862818355913
19	847.6924	0.0	847.6924	847.6924	1000.0	19000	350.29617	408.50076	926.76117	29.269823	429.0	0.1413108	0.12723495	-10.350715	20.227558	20.227594	125.0876317024231	217.3671890953131
20	913.18555	0.0	913.18555	913.18555	1000.0	20000	616.3888	220.31909	782.3823	305.03842	797.6667	0.15832525	0.14088213	-11.175656	21.833181	21.83323	132.48720836639404	218.60389223098755
21	582.5187	0.0	582.5187	582.5187	723.0	21000	630.73883	169.01384	869.33167	499.04788	953.6667	0.31533355	0.28740364	-11.625202	22.711197	22.71176	139.1338496208191	218.52848098448345
22	534.10394	0.0	534.10394	534.10394	996.0	22000	748.145	61.52476	792.5402	661.14197	975.0	0.21354608	0.19298798	-12.335693	24.150026	24.1498	147.36193585395813	220.81962633421927
23	778.719	0.0	778.719	778.719	1000.0	23000	402.62036	195.52881	627.8202	151.05624	537.6667	0.23949291	0.2103165	-12.824153	25.096333	25.095888	154.23268008232117	220.95507761499158
24	752.8393	0.0	752.8393	752.8393	891.0	24000	605.7715	334.84103	854.78143	132.44946	729.0	0.25581077	0.21917255	-13.2593355	25.979223	25.979088	161.34539198875427	221.40173103147083
25	855.8337	0.0	855.8337	855.8337	1000.0	25000	114.98087	56.209145	184.72481	47.078022	200.33333	0.27891168	0.24479738	-13.861262	27.154316	27.154348	167.3679437637329	220.36779168049495
26	456.5347	0.0	456.5347	456.5347	1000.0	26000	867.7234	67.76769	940.3697	777.26544	1000.0	0.2789292	0.2392272	-14.510746	28.425543	28.425652	175.59330654144287	222.19306745529175
27	753.70123	0.0	753.70123	753.70123	1000.0	27000	467.062	295.12708	872.7029	179.14398	627.3333	0.28547418	0.2424644	-14.912331	29.222351	29.22261	182.7266182899475	222.5429725518933
28	847.08624	0.0	847.08624	847.08624	979.0	28000	812.49	50.8014	850.8757	740.7036	970.3333	0.30588284	0.2583368	-15.505061	30.378721	30.379229	190.53736972808838	223.65457810901458
29	831.8197	0.0	831.8197	831.8197	1000.0	29000	766.9211	99.89704	863.0906	629.211	960.0	0.31782022	0.27349246	-15.874845	31.137327	31.137291	198.58944463729858	224.9539043105882
30	772.89374	0.0	772.89374	772.89374	1000.0	30000	549.39136	370.5548	858.9469	28.419937	684.0	0.3479192	0.30524632	-16.243431	31.880756	31.88068	206.14669156074524	225.61610001458064
31	845.4788	0.0	845.4788	845.4788	1000.0	31000	792.6989	34.957756	841.6217	762.0742	1000.0	0.37819183	0.33402127	-16.822624	33.029015	33.02899	214.17766857147217	226.72893953733546
32	839.7123	0.0	839.7123	839.7123	1000.0	32000	799.92255	19.663076	827.72986	785.875	1000.0	0.37865844	0.3390598	-17.236994	33.858063	33.858208	222.30890130996704	227.86662310957908
33	840.13495	0.0	840.13495	840.13495	1000.0	33000	501.38736	272.66138	878.81586	244.28351	661.3333	0.3748272	0.33766648	-17.781605	34.970913	34.970837	229.44507002830505	227.93861178725655
34	862.9245	0.0	862.9245	862.9245	1000.0	34000	565.4969	380.35712	835.2698	27.591503	693.0	0.39213142	0.35363165	-18.282719	35.999733	35.999672	236.90239548683167	228.30887630009184
35	436.4814	394.4262	830.9076	42.055214	550.5	35000	594.9649	267.2999	786.48773	216.95694	766.6667	0.40565294	0.36820033	-18.794882	37.026714	37.026764	244.98264813423157	229.23376294204166
36	864.0843	0.0	864.0843	864.0843	1000.0	36000	778.4781	36.803627	828.789	741.774	1000.0	0.41699952	0.38006333	-19.24492	37.931522	37.931374	253.03716230392456	230.0763821111785
37	586.002	133.7064	719.70844	452.29562	780.5	37000	772.0744	62.4221	856.81445	708.2773	1000.0	0.40868816	0.37017506	-19.780607	38.975765	38.976215	263.80382204055786	233.2643697268254
