Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	-32.5042	0.0	-32.5042	-32.5042	999.0	999	-0.00868524	0.004829811	-0.002210099	-0.013805635	999.0	2.788537e-05	-0.011431147	-0.0219396	11.134012460708618	928.5775679862337
2	-0.9969558	0.0	-0.9969558	-0.9969558	999.0	1998	-0.018949123	0.0039424323	-0.015336356	-0.024433155	999.0	9.148581e-08	-0.012138442	-0.004627775	22.99556612968445	958.7244369977906
3	-1.0193642	0.0	-1.0193642	-1.0193642	999.0	2997	-0.020470344	0.0013725562	-0.018529272	-0.02144791	999.0	3.224523e-08	-0.0115618585	2.3995046e-05	34.818593978881836	967.5710074978003
4	-1.0511726	0.0	-1.0511726	-1.0511726	999.0	3996	-0.005160559	0.0011659304	-0.0035552895	-0.0062894193	999.0	2.0646071e-07	-0.010912632	0.002009834	45.90283179283142	956.5012147493867
5	-1.01183	0.0	-1.01183	-1.01183	999.0	4995	-0.02508682	0.001648091	-0.02388141	-0.027417108	999.0	2.9115455e-07	-0.010441196	0.0031008553	57.36237812042236	956.0405923370047
6	-0.920984	0.0	-0.920984	-0.920984	999.0	5994	-0.020241885	0.0014032669	-0.018654002	-0.022066703	999.0	2.0644174e-07	-0.01003108	0.0037722439	68.90627861022949	956.8411990244626
7	-1.0379834	0.0	-1.0379834	-1.0379834	999.0	6993	-0.00029955784	3.5200843e-05	-0.0002654392	-0.00034801124	999.0	1.9545993e-07	-0.009621421	0.004095773	81.16390204429626	965.8514015312588
8	-0.9454435	0.0	-0.9454435	-0.9454435	999.0	7992	-0.0011115224	0.0010209145	-0.0001652429	-0.0025290223	999.0	1.9024148e-07	-0.009173076	0.0042412123	92.21729254722595	960.0214008468726
9	-1.0478101	0.0	-1.0478101	-1.0478101	999.0	8991	-0.0042484417	0.004692932	-0.0007834654	-0.010883059	999.0	1.9314493e-07	-0.008787275	0.004273039	103.37736344337463	956.4330095691131
10	-0.98333323	0.0	-0.98333323	-0.98333323	999.0	9990	-0.008794792	0.0020936525	-0.006747899	-0.011671005	999.0	1.5062884e-07	-0.008393966	0.0042199316	114.75751090049744	955.3572355165019
11	-0.95455366	0.0	-0.95455366	-0.95455366	999.0	10989	-0.0051618796	0.0009750955	-0.0039169905	-0.006298041	999.0	1.5606942e-07	-0.00809056	0.004206836	125.92887759208679	952.8627954084001
