Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	35.86222	16.53124	70.913086	8.927353	99.4	1000	4.906223	2.0637841	7.5121408	2.4649749	28.666666	0.17181149	3.095378	-3.2377217	1.4429528713226318	48.074348056316374
2	11.121267	4.951463	22.541346	4.036504	39.846153	2000	221.41096	286.02197	625.8782	14.987631	374.0	0.0632468	1.1748581	-1.3085824	2.3498849868774414	39.12557312250137
3	81.35054	100.118614	306.33804	14.960001	178.75	3000	18.36981	13.077264	36.329712	5.5683827	64.333336	0.027929831	-1.7648259	1.6067898	4.3032166957855225	47.74179062843323
4	132.26111	133.63322	355.0325	20.490685	214.5	4000	304.314	408.25693	881.60126	7.599109	364.0	0.035879824	-4.84448	4.6620994	5.649981260299683	46.989004866282144
5	304.8171	411.2859	886.45337	11.076331	373.33334	5000	576.7171	407.09836	911.36597	3.6819727	675.0	0.048730917	-8.55688	8.344884	7.445413112640381	49.51199244260788
6	248.77959	325.9789	709.7431	13.019556	343.0	6000	201.16982	150.59912	409.20966	57.65666	285.33334	0.08767196	-12.307193	12.072154	8.958393573760986	49.619542666276296
7	134.04088	106.34988	284.24222	52.22343	208.66667	7000	18.126493	8.937608	26.138426	5.654245	57.666668	0.14433451	-14.815614	14.528879	9.90075421333313	46.9814338019916
8	327.77078	253.93669	662.8384	48.330566	469.0	8000	429.68823	272.3942	639.059	44.965668	524.0	0.19509782	-18.290714	17.945044	11.967453479766846	49.6649289727211
9	411.61246	374.41708	786.02954	37.19538	503.5	9000	470.20947	260.61728	838.757	282.53116	607.3333	0.33491656	-22.896029	22.468988	13.570681095123291	50.03560117836352
10	79.283104	93.00902	279.1652	8.313619	151.5	10000	290.90366	401.60092	858.85205	5.9572196	357.0	0.97279125	-26.801947	25.95215	14.979057550430298	49.68053850332896
