Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	LossAlpha	Alpha	Time	remian_mins
1	834.31036	799.05975	2399.32	174.2646	1797.4	10000	506.06534	158.04916	647.90466	285.54453	1111.0	145.89803	145.53937	179.9731	-0.73141587	1.6173469	147.99285984039307	1230.8072764078777
2	252.49855	219.34546	808.00256	8.195277	621.93335	20000	514.4964	157.46992	715.8785	331.47003	880.3333	7.526774	7.5030665	95.7448	-16.44982	0.18830466	297.24246191978455	1233.5562120199204
3	341.9391	272.3386	851.8077	11.076379	801.1667	30000	210.86815	145.2513	404.6754	55.007202	476.0	2.8312247	2.969959	26.955387	-21.919819	0.01161332	448.26779770851135	1237.717194373078
4	348.47256	463.1668	1452.8835	9.404712	816.1429	40000	259.43448	177.4138	505.08508	92.39009	618.0	1.4146755	1.4664748	-6.6235256	-3.0169296	0.0013471037	614.9173138141632	1270.8291127522787
5	364.60294	209.56578	808.2277	146.08412	831.0833	50000	404.6351	280.00858	799.97754	187.33022	867.3333	1.1738149	1.2147758	-26.171278	0.08711967	0.0013737532	772.2214727401733	1274.1654284477233
6	277.05112	206.80215	742.9838	11.90437	620.64703	60000	2010.9164	1363.0034	3823.9834	537.58606	3633.3333	0.941719	0.98557353	-37.578133	0.16865106	0.0018778852	967.3485105037689	1327.4171214381854
7	435.40335	350.8377	1050.8395	10.7964735	803.2727	70000	376.16492	390.98376	917.7501	8.850132	646.3333	0.69320107	0.73854774	-44.09033	-0.010928795	0.0020948686	1111.033075094223	1304.1412036935487
8	628.6524	457.10928	1568.7809	0.29867703	1062.9	80000	1539.8375	1359.6251	3450.5806	398.27692	3090.6667	0.6919848	0.73000765	-49.90793	0.022228025	0.0024425266	1300.3673539161682	1332.876536297798
9	1431.2063	1804.3743	4555.9917	353.91315	2272.25	90000	1433.4427	1127.5084	2821.6235	59.919872	2376.6667	0.5845058	0.6109426	-53.65304	-0.015525404	0.0022048473	1467.5557186603546	1334.3886243700981
10	1212.3679	825.52686	2458.285	226.10715	2053.8	100000	714.1308	771.6699	1801.453	89.78946	1453.6666	0.6180619	0.64260733	-55.69494	0.037471823	0.002485567	1636.7008068561554	1336.6389914870263
11	852.56586	486.1498	1723.4026	217.3517	1540.5	110000	204.45947	178.8934	435.9633	0.34037024	479.33334	0.82617486	0.8523314	-57.447582	0.025262602	0.002846285	1782.5721497535706	1320.7239100705492
12	1669.3444	2121.1912	5341.9434	360.74966	2824.0	120000	879.8723	630.2121	1769.2324	384.89468	1557.3334	1.097787	1.140358	-59.42795	0.043462276	0.0030446118	1965.0282204151154	1331.8524595340093
13	810.2088	754.71246	2414.5688	172.7062	1430.5	130000	840.6997	650.894	1731.4734	194.34969	1366.3334	1.5011944	1.5700777	-61.098648	-0.004063981	0.0033872076	2113.4036672115326	1319.522545173535
14	574.36383	636.37244	2403.329	84.587814	1142.6	140000	263.46143	112.25423	415.53677	147.97334	561.0	2.0388327	2.1353328	-63.20089	0.06387215	0.0038615556	2282.455547094345	1320.5635659813881
15	317.25208	271.46814	907.0769	7.8861465	659.93335	150000	1581.0529	1247.8171	3340.646	585.3021	2343.6667	2.282087	2.4213064	-64.77428	0.036716443	0.0046751425	2461.980059146881	1326.733697769377
