Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	54.71747	15.347957	84.61358	35.82696	128.85715	1000	10.181129	1.5827781	12.035949	8.168587	34.0	0.05207979	-5.1057024	5.095906	2.4204258918762207	80.64049880107244
2	10.505353	11.183636	64.62407	2.116843	38.57143	2000	8.488118	2.7280688	12.313052	6.138675	49.666668	0.084363416	-5.969551	5.920026	5.645297527313232	93.99418795108795
3	15.283913	8.2747345	31.801523	1.242756	47.42857	3000	42.964508	7.9309306	51.173225	32.24107	92.0	0.12439362	-7.4197073	7.1760225	8.67546534538269	96.24946036868624
4	34.06255	14.087591	65.80216	17.159306	85.166664	4000	26.933609	8.280485	38.635437	20.695307	69.666664	0.13226889	-9.661237	9.337419	11.685348510742188	97.18314051628113
5	73.70658	51.53455	155.02907	18.280073	142.85715	5000	274.9871	83.6812	357.57455	160.28835	370.66666	0.14397855	-11.811751	11.466102	14.980799198150635	99.62230991125107
6	77.913895	34.05203	120.55388	38.276817	141.0	6000	131.55028	39.968304	166.96841	75.69196	256.66666	0.22769327	-13.773733	13.366375	17.111019372940063	94.77603112061819
7	245.39592	195.73033	441.12625	49.665585	386.0	7000	601.48456	400.42358	886.32043	35.203514	705.3333	0.30542114	-16.657988	16.20913	20.000590324401855	94.90755974054336
8	244.87296	330.76865	817.60156	42.781208	334.5	8000	275.6542	357.0423	780.58826	23.055414	371.33334	0.52696174	-20.513062	20.001635	24.232208967208862	100.56366325616837
9	226.84906	193.6074	435.19855	30.375994	318.0	9000	47.183044	12.316007	64.07674	35.064907	95.333336	0.69240683	-25.369436	24.7214	27.748974561691284	102.31149343252181
10	374.12955	204.00949	578.13904	170.12006	492.0	10000	209.19548	25.036566	244.42557	188.51848	320.0	0.813812	-29.912952	29.201645	30.939369678497314	102.61557293732962
11	83.87174	65.58199	217.21304	32.306995	156.33333	11000	42.885815	14.914245	60.969944	24.442938	108.666664	1.1583021	-33.851982	33.05688	33.937506675720215	102.27530133507467
