Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	Q1val	Q2val	Time	remian_mins
1	93.7042	66.23889	428.65128	0.29800278	245.45	10000	19.233225	3.8207717	21.99915	13.83035	77.666664	0.023849435	0.023766898	-3.4532993	6.927988	6.927979	54.94848942756653	456.98825850884117
2	75.76574	37.472763	133.65067	0.298625	211.375	20000	46.984356	34.39557	82.15549	0.29851112	165.33333	0.02543555	0.02528624	-5.4204917	10.840673	10.840666	111.3350133895874	462.0402996301651
3	86.325554	32.76706	140.36671	11.579787	234.16667	30000	92.352104	46.75896	143.18579	30.308043	210.66667	0.023850136	0.024672393	-6.4491506	12.87174	12.871784	169.619393825531	468.3379890018039
4	73.179474	40.801346	140.30534	0.29857478	203.55103	40000	47.16367	53.799706	122.50346	0.29873332	108.333336	0.027182264	0.02641733	-6.8280888	13.62701	13.62705	226.20236659049988	467.4848889827728
5	69.14726	38.468563	140.85214	0.29814443	203.62	50000	40.75546	33.022552	81.18639	0.29800278	138.0	0.026688907	0.02611076	-6.8366666	13.646598	13.646621	284.44014382362366	469.3262357354164
6	87.80943	33.31217	150.16463	8.247968	234.80952	60000	29.060888	26.89085	64.98776	0.29830277	113.333336	0.026938172	0.026654111	-6.902715	13.779255	13.779209	340.44280910491943	467.16318641371197
7	75.425545	43.208836	137.67134	8.121949	200.46	70000	59.89464	43.90262	114.30754	6.7925	170.66667	0.027431723	0.026887953	-6.9061656	13.783804	13.783775	398.5818386077881	467.8591564961842
8	80.229195	31.750074	130.41806	0.29866388	225.18182	80000	59.520824	31.935703	87.78825	14.882225	185.33333	0.0272928	0.026882008	-6.837771	13.655441	13.655411	455.6028308868408	466.99290043711665
9	69.93301	38.554092	133.64429	0.29864752	196.7451	90000	69.596466	43.281216	100.32198	8.38775	177.33333	0.02817192	0.026952038	-6.741341	13.457771	13.457667	513.1268465518951	466.5653355346786
10	65.73335	37.197372	135.93723	0.2983559	194.98077	100000	47.44429	47.621067	114.419914	7.8451333	114.333336	0.02771409	0.02734872	-6.6772366	13.337673	13.337605	569.5194070339203	465.10751477082573
