Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	48.20735	21.59692	81.65248	12.6249275	111.75	1000	9.4238205	5.2359176	13.89534	2.0766642	33.666668	0.14113423	3.8051653	-3.8791947	1.2737364768981934	42.43662184874217
2	7.9981065	9.741148	64.55798	1.2366935	28.657894	2000	5.039776	1.3842794	6.2890143	3.109823	25.666666	0.032622144	1.6942862	-1.7096294	2.7808837890625	46.3017031788826
3	5.7882786	2.7786052	10.290878	2.0522068	26.342106	3000	5.9390616	3.1375732	10.167713	2.6605072	25.333334	0.023902936	-0.44500574	0.43484768	4.199669599533081	46.592993121676976
4	6.9655104	2.8279283	10.906742	1.9049047	26.31579	4000	9.010127	1.4952219	10.616694	7.016155	25.666666	0.022840926	-1.6181735	1.619387	5.608640670776367	46.64518896341324
5	7.042437	2.4723282	12.825289	3.0975828	26.18421	5000	8.262395	2.814556	10.985286	4.386594	25.666666	0.023645135	-2.3788195	2.3658915	7.010679244995117	46.621013808250424
6	7.729335	3.0587223	14.565919	2.6804874	26.179487	6000	5.2892904	1.0987	6.3408685	3.7728703	25.666666	0.024238301	-2.8322287	2.8128052	8.45719051361084	46.84343460533354
7	8.138797	2.780849	13.286429	2.6236444	26.18421	7000	8.667735	1.0578097	10.113233	7.611303	25.666666	0.024853934	-3.1278672	3.1083045	9.858009576797485	46.778599192982625
8	8.686071	2.9539812	13.898142	2.7327738	26.105263	8000	10.874583	1.8111649	13.335472	9.028919	26.0	0.026539024	-3.317096	3.2879357	11.246727705001831	46.67391700744629
9	7.797584	3.3632455	13.716081	2.2711775	26.078947	9000	7.8408794	0.9042369	8.8714485	6.669918	26.0	0.025734397	-3.429609	3.3957264	12.639158964157104	46.60104458067153
10	7.1152806	3.428357	13.769067	1.5851967	25.97436	10000	8.49241	2.409184	11.594866	5.721622	26.0	0.024322106	-3.4240205	3.3917487	14.082452058792114	46.70679695606232
11	8.709564	2.9518306	13.739759	3.2342997	26.0	11000	7.7426834	3.0647829	9.977627	3.409141	25.666666	0.023316793	-3.4087992	3.3803973	15.475296258926392	46.63691266991875
12	7.743904	3.0961297	13.071952	2.82129	25.897436	12000	9.193854	3.029934	12.312002	5.0894685	26.0	0.023469506	-3.4125395	3.3834527	16.90556240081787	46.67813355127971
13	8.874954	3.0041943	14.723716	2.226398	25.923077	13000	8.355258	2.7081044	11.18494	4.705374	25.666666	0.021833485	-3.4265027	3.3945453	18.32322883605957	46.67724967919863
14	8.698412	4.2147183	23.149818	2.440562	27.166666	14000	11.65623	0.7535781	12.473907	10.655468	39.0	0.024046209	-3.4804099	3.4289591	19.701364994049072	46.57965355260032
15	15.045413	5.693967	26.727777	4.1424007	46.095238	15000	16.422028	3.0982213	20.595802	13.180512	48.666668	0.053821877	-4.305069	4.0260706	21.0871102809906	46.50879165331523
16	7.2831173	3.3477428	22.237404	2.4898112	32.53125	16000	4.830353	1.2349602	6.343672	3.3186507	35.333332	0.30708402	-7.4482317	6.474363	22.543423891067505	46.589741722742716
17	6.777898	2.574789	10.784249	2.3891394	32.580647	17000	3.9786339	1.2679324	5.6263022	2.5421247	35.666668	0.32389197	-11.9476385	10.72035	23.9832444190979	46.62624731835197
18	11.232654	3.5924551	18.218325	3.5772042	39.36	18000	12.494915	0.120234266	12.661973	12.383942	36.666668	0.35673672	-15.328451	14.14262	25.38651728630066	46.58895911463984
19	12.553381	6.8744636	23.854368	2.4002616	38.96154	19000	21.58039	3.605951	26.550707	18.107157	48.0	0.42219186	-17.204048	16.180292	26.835745573043823	46.63299130786929
20	14.477696	7.234264	27.328413	2.6900444	46.666668	20000	19.907408	2.8962283	23.359982	16.272717	57.0	0.48892123	-18.549864	17.570347	28.24454092979431	46.60349017381668
21	13.821789	6.0294266	28.710033	6.3274584	52.05263	21000	12.863087	2.2927547	14.505387	9.620733	57.333332	0.5003346	-19.397469	18.47648	29.66975474357605	46.600352137997035
22	16.377007	6.9656763	29.077248	4.9263287	56.88889	22000	20.65738	4.6854424	27.283594	17.339739	62.333332	0.47958717	-19.746708	18.890575	31.154387950897217	46.68437723643852
23	16.056038	8.31629	30.496244	4.2761326	55.555557	23000	18.482485	1.4403605	20.263977	16.73636	51.666668	0.4584089	-19.759691	18.88559	32.58633089065552	46.683459627110025
24	54.680496	54.763504	191.57661	14.73199	107.333336	24000	30.098488	7.2846293	38.28159	20.586939	93.0	0.63448155	-22.233822	20.81546	33.97945284843445	46.62735898892085
25	38.245453	11.587753	57.84901	18.87061	92.27273	25000	82.834496	46.78374	123.51252	17.306421	148.33333	0.88382095	-25.084694	23.566187	35.43965554237366	46.66221218903859
26	51.650894	25.086693	81.253174	3.2276864	106.888885	26000	49.444927	13.751932	66.83961	33.21484	96.333336	1.668556	-28.25309	26.64778	36.87249445915222	46.65788631439209
27	62.236176	19.355305	91.202934	34.597267	121.85714	27000	167.2008	120.40068	330.54074	43.88309	269.33334	2.3646965	-31.047846	29.36921	38.175294160842896	46.49373701737251
28	309.39444	263.13098	572.5254	46.263474	561.0	28000	86.18392	27.366655	109.88803	47.836823	178.0	2.7385023	-34.955765	33.187927	39.78765869140625	46.703132142339435
29	153.51562	130.83406	365.33237	8.032953	273.0	29000	89.077484	64.373215	167.9616	10.280143	164.33333	3.5811138	-38.597595	36.695404	41.36736750602722	46.85924134747735
30	51.282967	12.964399	68.45234	38.59216	107.5	30000	502.43814	182.36023	634.2529	244.56326	791.3333	4.1665816	-41.330467	39.241997	42.30381441116333	46.29917335642709
31	323.52112	292.5498	616.0709	30.971312	541.0	31000	61.722046	20.429823	90.0087	42.483074	131.0	4.531911	-44.688408	42.533066	43.86923575401306	46.440066302079025
32	59.797436	88.83037	320.92148	11.884402	137.6	32000	61.595028	28.829327	97.24277	26.63569	199.33333	5.595413	-49.437454	47.08037	45.80172252655029	46.946765100955965
33	47.455986	34.549637	120.02989	15.501225	121.5	33000	45.06024	28.018885	83.196846	16.676016	111.666664	6.537656	-53.978798	51.557774	47.20718479156494	46.89723791823243
34	38.179028	30.01601	120.41236	12.165376	92.72727	34000	46.60764	21.500715	71.72404	19.20707	101.333336	7.0490093	-57.762836	55.124393	48.70630860328674	46.939510215263745
35	31.109617	16.309965	53.56765	10.081341	88.454544	35000	88.46525	46.49494	153.70956	48.768204	172.0	7.6882243	-61.7382	59.02731	50.16661977767944	46.941622122696465
36	45.578632	32.193195	117.2663	6.8264065	117.77778	36000	41.74281	21.338963	63.167084	12.624766	102.0	8.827727	-66.18608	63.218624	51.71519064903259	47.022515291637845
37	43.024067	18.641771	75.85075	13.2711525	106.833336	37000	43.06081	2.862049	46.50318	39.49584	128.66667	9.676476	-70.373245	67.2637	52.70900797843933	46.60710846378996
