Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	Q1val	Q2val	Time	remian_mins
1	47.16988	24.39228	95.11767	15.736949	106.28571	1000	13.091153	1.7685245	15.541271	11.431112	38.0	0.37448645	0.3417747	-3.5235622	7.062533	7.061654	3.047112226486206	101.51959851582845
2	17.222683	26.250475	135.82913	3.8230772	56.409092	2000	11.401906	7.514688	22.024683	5.819822	43.333332	0.076893955	0.08859645	-2.8603106	5.6781383	5.6785307	8.228893518447876	137.01105723381042
3	9.62203	5.4523845	19.977234	3.7752736	41.782608	3000	13.725894	5.442862	21.322805	8.853976	42.333332	0.31996804	0.32394502	-3.5887108	6.8288407	6.829009	13.763672590255737	152.70029032362834
4	15.0130415	9.177221	30.637493	3.5550976	44.695652	4000	5.868639	2.2076752	8.986484	4.168195	43.666668	0.24354602	0.23894484	-3.798775	7.2941813	7.2944903	19.72949767112732	164.08364571730297
5	14.514992	7.5982533	27.359896	3.1817145	42.75	5000	6.3020196	1.1705109	7.8234615	4.9764495	41.666668	0.14551802	0.14459354	-4.012761	7.7609286	7.760582	25.578099012374878	170.0943505048752
6	13.663911	8.476128	29.422514	3.6246705	45.363636	6000	10.457877	6.536341	19.126766	3.3443305	42.333332	0.10993462	0.1080914	-4.2280264	8.201269	8.200895	31.373679876327515	173.77532158825133
7	15.750895	8.585164	30.111517	3.62254	49.210526	7000	12.925044	7.589741	22.279495	3.6896458	50.0	0.11896111	0.11746195	-4.3508525	8.44444	8.4444065	36.71268033981323	174.21040480136872
8	17.846704	6.8662205	28.155336	4.5863657	54.63158	8000	19.746832	5.8913727	24.29637	11.427338	56.333332	0.1066203	0.10477324	-4.5364537	8.806985	8.807168	42.70748829841614	177.23607149124146
9	16.195988	8.811665	34.777924	4.609142	55.22222	9000	21.088736	8.830336	31.208336	9.69194	68.666664	0.11158774	0.10663233	-4.688221	9.110713	9.110768	48.410731077194214	178.4921540763643
10	17.829462	7.81981	29.502497	7.310282	61.0	10000	19.126984	10.207978	28.790396	5.0072165	55.0	0.17619413	0.16850327	-4.792734	9.303579	9.303603	53.73236322402954	178.21233486334484
