Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	50.386692	37.472874	151.39061	17.63525	108.333336	1000	8.950082	0.8734262	10.016746	7.877323	34.0	0.07689465	-2.8988962	2.8517635	2.5946075916290283	86.44364448785782
2	8.314234	2.9644747	12.806057	3.5492635	33.533333	2000	8.692833	1.7489618	11.166228	7.4500666	31.666666	0.04534221	-4.178923	4.190318	5.468656301498413	91.0531115412712
3	8.2418585	2.795549	13.584885	2.8406062	30.454546	3000	9.3051	2.3265054	11.70023	6.15396	31.666666	0.02968979	-4.5063004	4.5295043	8.486848592758179	94.15685699515872
4	7.8331084	2.519373	12.694211	3.6020064	32.16129	4000	5.594118	1.5257311	7.492467	3.7566943	31.0	0.033548888	-4.4089026	4.450974	11.177675008773804	92.96099120775858
5	7.7982974	2.4883707	12.591013	3.5292993	31.935484	5000	7.9314117	1.9654208	10.415451	5.609355	27.333334	0.035523064	-3.9395745	3.996582	14.116982460021973	93.87792701721192
6	7.105842	2.5880718	11.648071	3.154015	31.5625	6000	8.217834	1.5217096	10.359416	6.963679	32.0	0.03113764	-3.44474	3.5110612	16.977975606918335	94.0391164832645
7	7.7215786	2.8142192	12.881153	3.711265	31.46875	7000	9.013385	2.267285	12.049488	6.602344	32.666668	0.023967288	-2.9925554	3.0524943	19.9536190032959	94.68466850689478
8	7.3273516	3.1554177	14.549889	3.4020164	31.741936	8000	7.1182976	3.307538	11.683427	3.9528923	30.333334	0.020976685	-2.7342246	2.7845068	22.760812044143677	94.45736701488495
9	7.6504965	2.567897	12.915024	3.460399	30.787878	9000	6.034572	1.3125836	7.7449713	4.5547013	30.0	0.016407127	-2.5999904	2.638958	25.736180543899536	94.89024734099706
10	7.8728085	2.9250414	13.367401	3.3938568	30.8125	10000	5.267496	1.9127531	7.9178076	3.4734864	35.0	0.015903166	-2.5369143	2.568249	28.595442295074463	94.84154711564382
