Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	-32.5042	0.0	-32.5042	-32.5042	999.0	999	-0.030330136	0.00020822491	-0.03010133	-0.030605076	999.0	2.6835038e-05	-0.013366556	-0.019917844	13.607399940490723	1134.8582901220063
2	-1.0229595	0.0	-1.0229595	-1.0229595	999.0	1998	-0.0012594648	0.000266646	-0.00088398566	-0.0014773986	999.0	7.1411506e-08	-0.014589382	-0.0021882537	25.991354942321777	1083.6239905274786
3	-1.0178903	0.0	-1.0178903	-1.0178903	999.0	2997	-0.0024552473	0.00068632094	-0.0015311019	-0.0031742656	999.0	8.262916e-08	-0.014070411	0.0024865698	38.797425985336304	1078.1384386664636
4	-1.044225	0.0	-1.044225	-1.044225	999.0	3996	-0.0033579636	0.00026081863	-0.0030021395	-0.0036200269	999.0	2.6445124e-07	-0.013498639	0.0045578326	50.632392168045044	1055.0535276990395
5	-1.0159229	0.0	-1.0159229	-1.0159229	999.0	4995	-0.02114693	0.0012333962	-0.019579554	-0.022593489	999.0	2.9126215e-07	-0.012983748	0.005631906	63.158920764923096	1052.6497331177668
6	-0.9030226	0.0	-0.9030226	-0.9030226	999.0	5994	-0.017777706	0.004274979	-0.013551442	-0.023634791	999.0	2.8223153e-07	-0.012452871	0.0061821225	77.06048607826233	1070.0715433148664
7	-1.0387312	0.0	-1.0387312	-1.0387312	999.0	6993	-0.0036153367	0.00030739623	-0.0031818985	-0.0038609903	999.0	2.188757e-07	-0.011887049	0.006363094	91.02348256111145	1083.1805271748115
8	-0.94833755	0.0	-0.94833755	-0.94833755	999.0	7992	-0.0114189945	0.0009855763	-0.010685857	-0.01281217	999.0	2.3162971e-07	-0.01124426	0.006319625	104.6773133277893	1089.7355387696673
9	-1.0623701	0.0	-1.0623701	-1.0623701	999.0	8991	-0.016446805	0.00021198999	-0.016212545	-0.016725957	999.0	2.2367857e-07	-0.010697551	0.0061859624	116.92000842094421	1081.7276801041937
10	-1.0028322	0.0	-1.0028322	-1.0028322	999.0	9990	-0.013179057	0.0012809014	-0.011430344	-0.014462758	999.0	1.9300315e-07	-0.010207139	0.0060326	128.92491602897644	1073.3010013909789
11	-0.9534548	0.0	-0.9534548	-0.9534548	999.0	10989	-0.008498545	0.0007019806	-0.007765679	-0.0094449315	999.0	1.8162018e-07	-0.009723671	0.00585386	141.04035997390747	1067.206460026366
12	-0.95519036	0.0	-0.95519036	-0.95519036	999.0	11988	-0.005386991	0.00031317037	-0.005149514	-0.0058294837	999.0	1.8739047e-07	-0.009238064	0.005619172	154.91109228134155	1074.2664709604592
13	-0.9179201	0.0	-0.9179201	-0.9179201	999.0	12987	-0.00040967864	0.00014667741	-0.00024610347	-0.0006019369	999.0	1.336403e-07	-0.008801516	0.005383194	168.24569439888	1076.7735237304507
14	-0.90563345	0.0	-0.90563345	-0.90563345	999.0	13986	-0.00031583392	2.8413184e-05	-0.0002819893	-0.00035151443	999.0	1.3897676e-07	-0.0083678225	0.0051157363	182.85864448547363	1086.4862021850354
15	-0.9870753	0.0	-0.9870753	-0.9870753	999.0	14985	-0.011492305	4.899167e-05	-0.0114258565	-0.0115425205	999.0	1.277843e-07	-0.008013269	0.004903737	196.71010446548462	1090.649339797584
16	-0.9456175	0.0	-0.9456175	-0.9456175	999.0	15984	-0.0039751614	0.0015514097	-0.0018198298	-0.0054080985	999.0	1.14622885e-07	-0.0077001005	0.004719679	208.48919534683228	1083.4933740362628
17	-1.0248773	0.0	-1.0248773	-1.0248773	999.0	16983	-0.012490367	0.0022844346	-0.00928034	-0.014411224	999.0	9.817199e-08	-0.0073694508	0.0045324676	219.1647388935089	1071.7596220798407
18	-0.9427542	0.0	-0.9427542	-0.9427542	999.0	17982	-0.0064564664	0.0022464197	-0.0035454666	-0.009013857	999.0	9.530116e-08	-0.007001114	0.0042552887	231.5772144794464	1069.3303033834413
19	-1.0264851	0.0	-1.0264851	-1.0264851	999.0	18981	-0.0016236353	0.00014515694	-0.001504314	-0.0018279598	999.0	9.52079e-08	-0.0066637625	0.00402099	243.929203748703	1066.8703778578235
20	-1.0647398	0.0	-1.0647398	-1.0647398	999.0	19980	-0.0034745692	0.0026054194	-0.0013101167	-0.0071391733	999.0	7.374668e-08	-0.0063537494	0.0037834672	255.6715431213379	1062.103268414352
21	-0.9643426	0.0	-0.9643426	-0.9643426	999.0	20979	-0.0063516027	0.002618058	-0.0044614957	-0.010053822	999.0	7.8948105e-08	-0.0060361596	0.0035444133	268.42505288124084	1061.7712754197123
22	-0.9007421	0.0	-0.9007421	-0.9007421	999.0	21978	-0.0055552893	0.0011632524	-0.003911681	-0.0064374926	999.0	7.326663e-08	-0.00572863	0.0033186735	280.8989462852478	1060.3945873030468
23	-1.0019416	0.0	-1.0019416	-1.0019416	999.0	22977	-0.014188568	0.0039318507	-0.010113453	-0.019502442	999.0	6.706925e-08	-0.005409442	0.003063377	292.7390310764313	1056.8313898428235
24	-0.87992233	0.0	-0.87992233	-0.87992233	999.0	23976	-0.017702794	0.0018231675	-0.015182363	-0.019433627	999.0	6.4928344e-08	-0.0051328456	0.0028409308	304.8280141353607	1054.4096278291445
25	-1.0083159	0.0	-1.0083159	-1.0083159	999.0	24975	-0.010373685	0.00024852957	-0.010022388	-0.010558988	999.0	5.9319387e-08	-0.0048817764	0.0026266545	316.5067148208618	1050.8033492837224
26	-0.9532045	0.0	-0.9532045	-0.9532045	999.0	25974	-0.0056488067	0.00029369505	-0.0054310164	-0.006063987	999.0	5.7540515e-08	-0.004688035	0.0024813714	328.0707221031189	1047.093440607074
27	-0.98317695	0.0	-0.98317695	-0.98317695	999.0	26973	-0.0032647199	0.0026606915	-0.0007199616	-0.006937531	999.0	5.219183e-08	-0.004515606	0.002357067	339.3507809638977	1042.7715346238517
28	-0.9870388	0.0	-0.9870388	-0.9870388	999.0	27972	-0.0033148888	0.002170439	-0.00024822255	-0.0049617016	999.0	4.8307847e-08	-0.00434356	0.0022257683	350.307115316391	1037.785872749133
29	-1.0206889	0.0	-1.0206889	-1.0206889	999.0	28971	-0.004011329	0.0023081168	-0.00078677316	-0.00606268	999.0	4.651374e-08	-0.004183521	0.0021008954	361.5058455467224	1033.824653321297
30	-0.9056665	0.0	-0.9056665	-0.9056665	999.0	29970	-0.00311725	0.000536516	-0.0024910392	-0.0038013933	999.0	4.2954973e-08	-0.0040228846	0.0019815837	375.6116280555725	1038.1498497303064
31	-0.97427034	0.0	-0.97427034	-0.97427034	999.0	30969	-0.003234864	0.00021331623	-0.0030358692	-0.0035307193	999.0	3.9179753e-08	-0.0038916308	0.0018840168	390.69353222846985	1044.7911745846739
32	-0.90905106	0.0	-0.90905106	-0.90905106	999.0	31968	-0.0046396013	0.0001071415	-0.0044906265	-0.0047380445	999.0	3.9597467e-08	-0.0037558712	0.0017875002	402.12025213241577	1041.5343887856136
33	-0.9979185	0.0	-0.9979185	-0.9979185	999.0	32967	-0.0003458351	0.0004753392	-5.225748e-06	-0.0010180462	999.0	3.384302e-08	-0.0035981473	0.0016508256	412.79519057273865	1036.5756331159855
34	-0.91402894	0.0	-0.91402894	-0.91402894	999.0	33966	-0.0038713028	0.00030295717	-0.0034434402	-0.0041045947	999.0	3.4458616e-08	-0.0034823203	0.0015609864	426.0582768917084	1038.2048170845542
35	-0.91770583	0.0	-0.91770583	-0.91770583	999.0	34965	-0.014010355	0.00054803083	-0.013260038	-0.014553663	999.0	3.0289225e-08	-0.0033614063	0.0014704149	440.6276681423187	1042.8198647671468
36	-0.98226583	0.0	-0.98226583	-0.98226583	999.0	35964	-0.004327653	0.0016050565	-0.0025728229	-0.0064519593	999.0	2.9083738e-08	-0.003206727	0.0013529795	453.00936341285706	1042.132312089175
37	-0.93473595	0.0	-0.93473595	-0.93473595	999.0	36963	-0.004815937	0.0027448847	-0.0019871893	-0.008532533	999.0	2.7830552e-08	-0.003048657	0.0012235739	464.9732246398926	1040.5357239659022
