Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	180.05447	59.391117	281.37656	59.223846	452.5	10000	185.26018	15.127137	203.02676	166.05667	458.33334	0.014386527	-4.8900704	4.8664727	63.006954193115234	524.007823808988
2	191.421	54.858437	291.59833	92.40135	473.75	20000	203.16191	31.3527	237.08752	161.47508	397.33334	0.027269365	-19.003208	18.956627	133.33624005317688	553.3453912734985
3	195.51225	72.31946	417.6044	67.3735	484.7619	30000	235.49986	37.763897	282.60065	190.14798	509.0	0.03501465	-26.115541	26.0677	216.5818157196045	598.0064552148183
4	179.32242	49.95971	259.68854	92.045715	446.47827	40000	167.25851	28.207565	194.59384	128.42967	433.33334	0.029453676	-29.455904	29.409098	295.04397559165955	609.7575475851695
5	187.19945	43.007698	306.8068	121.535324	456.77274	50000	190.48894	42.959686	237.58408	133.70227	429.0	0.03225806	-31.583658	31.536285	378.5525677204132	624.6117351651192
6	159.12767	44.618183	251.08827	77.98543	417.52173	60000	143.31969	28.276117	172.1057	104.888535	380.0	0.028085554	-32.141415	32.092777	455.514687538147	625.0673754798041
7	178.66017	64.11893	356.6016	110.04236	468.86365	70000	190.11493	88.297325	310.11758	100.211296	470.33334	0.022857225	-32.02995	31.98484	535.6785995960236	628.7846407873291
8	199.08603	58.45243	321.92892	104.42431	477.42856	80000	111.38458	13.153374	121.404	92.80191	359.33334	0.02212975	-32.07413	32.02973	613.3591911792755	628.6931699812412
9	172.09393	65.98396	279.83328	87.923164	442.9091	90000	176.36784	62.12159	257.4983	106.613144	439.0	0.024101827	-32.357544	32.308506	691.154324054718	628.4384678566897
10	177.97285	46.60409	281.5975	95.007034	444.08694	100000	163.04115	72.6377	263.57816	94.50825	459.0	0.04494152	-32.3528	32.302315	775.503445148468	633.3278127590816
11	199.37337	56.746967	351.92227	125.60148	503.75	110000	203.69598	44.074577	241.58333	141.88899	503.33334	0.045915138	-32.592224	32.536163	851.4397649765015	630.8394613493572
12	193.28465	34.553375	267.21603	105.18935	455.54544	120000	168.26173	27.994833	200.52856	132.26114	420.66666	0.04186415	-32.900967	32.84669	934.4666655063629	633.3607391463386
13	183.92592	47.582554	314.082	117.90294	444.72726	130000	187.20403	23.666912	212.03416	155.35233	462.66666	0.040009953	-32.87658	32.825317	1008.3109862804413	629.5480126335071
14	168.9597	56.09747	276.85907	83.15384	433.30435	140000	173.60252	40.222435	228.53362	133.34253	440.66666	0.041412506	-32.704975	32.654118	1087.350823879242	629.1101189783641
15	183.1898	63.580925	338.17535	77.618645	463.13635	150000	127.18182	56.58737	207.19919	86.11874	384.0	0.045193557	-32.522995	32.47376	1157.0206444263458	623.5055688540141
16	180.18848	56.594776	343.9008	103.29071	439.17392	160000	186.96533	27.913673	222.7628	154.65599	397.0	0.051148307	-32.454483	32.40675	1240.0124025344849	625.1729191303253
17	182.53928	42.033684	293.11197	79.06453	431.0	170000	149.03516	28.457771	180.50137	111.572464	405.0	0.0530236	-32.374565	32.33065	1316.2628021240234	623.2891498530612
18	217.31573	70.92315	363.43442	71.00995	526.5263	180000	211.43701	45.929497	270.71918	158.80687	523.0	0.053332444	-32.13783	32.09962	1398.8629817962646	624.3073672696396
19	190.28151	63.93673	324.6117	80.86424	426.34784	190000	203.75478	37.66664	248.64583	156.47461	426.0	0.0531071	-31.973537	31.940668	1474.9110839366913	622.308974486694
20	184.44028	48.79435	293.6546	99.46877	431.3913	200000	133.46867	7.2982945	141.3014	123.73132	431.0	0.049819876	-31.659075	31.630152	1556.6223225593567	622.648928642273
21	174.12944	48.19964	301.55237	98.69982	442.73914	210000	196.77275	25.712336	228.30597	165.32404	464.66666	0.04733083	-31.322504	31.29537	1632.5974760055542	620.6461829760718
22	193.02406	58.818855	338.68945	114.02332	454.0	220000	149.69653	26.34255	180.14815	115.88527	432.33334	0.047658868	-31.153973	31.12785	1710.0874738693237	619.2589483528426
23	159.11647	32.47484	227.89928	98.20967	417.625	230000	155.94907	37.591515	201.46764	109.40475	423.66666	0.04716162	-31.070581	31.045704	1789.6945025920868	618.6117951315383
24	175.12187	52.72675	289.98837	88.47371	455.81818	240000	202.15974	46.64808	239.36205	136.3775	459.0	0.046088036	-30.82609	30.802147	1870.455404996872	618.2894252253903
25	180.35516	56.201485	316.0562	97.21124	437.13635	250000	177.8838	40.691906	219.21086	122.53884	448.0	0.046211492	-30.690025	30.667032	1946.0620656013489	616.2529871384303
26	197.68422	44.397068	278.94855	100.73822	476.0	260000	174.94334	19.047346	201.81775	159.91658	467.0	0.04600984	-30.588068	30.566645	2031.8338975906372	617.3649147473849
27	177.17723	48.72828	285.7657	68.79631	424.34784	270000	139.08974	17.415585	154.10315	114.67439	425.0	0.045962643	-30.552155	30.529722	2105.979005098343	614.8938697286594
28	184.16327	46.76445	275.62766	114.03602	461.31818	280000	179.75171	60.994797	244.45352	97.9963	462.0	0.044345137	-30.661938	30.636374	2186.448112487793	614.2878027643476
29	167.42274	50.080437	255.42633	63.350796	421.95834	290000	145.55504	21.160868	173.84882	122.965996	412.33334	0.042882647	-30.676723	30.650772	2267.764068365097	613.8602733554511
30	169.42224	36.441605	234.01837	97.01067	428.34784	300000	172.34212	48.284473	240.15402	131.49023	437.0	0.039573964	-30.685223	30.6592	2348.5358712673187	613.228810581896
31	176.33867	79.61821	365.1	41.54807	428.86957	310000	163.54782	71.44355	264.1888	105.49337	396.66666	0.03756478	-30.662329	30.63729	2422.9324526786804	610.9437202941987
32	160.33858	49.542816	289.74493	86.616905	409.36	320000	165.70885	33.069885	193.77199	119.2771	381.33334	0.037476745	-30.719095	30.693542	2506.959998369217	611.071499311924
33	182.78566	66.35305	356.55096	80.00673	441.68182	330000	181.17915	14.8489065	192.12456	160.18602	484.66666	0.03905729	-30.694166	30.669985	2583.515303850174	609.3442658851844
34	191.77823	57.16381	289.37775	98.963715	448.69565	340000	188.78943	20.090334	203.42654	160.38182	433.0	0.039879855	-30.702269	30.679379	2665.82350564003	608.9577220944797
35	162.28902	53.980003	286.2576	73.15744	416.375	350000	177.74117	15.984068	197.84897	158.7434	420.33334	0.04074635	-30.580826	30.560196	2745.881410598755	608.0165978499822
36	194.83247	52.713627	356.8031	104.70526	456.04544	360000	121.61704	4.5019107	126.89214	115.892296	338.0	0.040427573	-30.491936	30.471634	2824.2123436927795	606.6826514032151
37	188.3083	66.67159	333.4356	84.84802	442.95456	370000	148.22021	35.138752	174.77234	98.56647	426.0	0.040099837	-30.513447	30.491282	2902.6800451278687	605.378765969663
38	176.06343	40.423016	263.79187	98.85559	430.9565	380000	174.2525	13.893677	193.72374	162.23549	420.33334	0.039393693	-30.6063	30.583557	2982.1318979263306	604.2740948645693
39	193.62169	57.59212	332.6909	100.66074	452.9091	390000	164.82143	36.511536	216.29478	135.54803	408.33334	0.038262073	-30.651222	30.62928	3064.7454290390015	603.7810437381777
40	197.37218	69.3929	421.18716	71.23334	466.72726	400000	182.07695	74.01777	262.93842	84.07875	430.0	0.037202023	-30.691721	30.670193	3145.2411139011383	602.8378799815972
41	192.56482	61.143234	321.75632	83.308395	468.0476	410000	139.39058	18.482374	154.95233	113.42259	444.0	0.035932694	-30.701162	30.681774	3223.762000322342	601.5068120773246
42	206.02388	66.309555	366.3101	119.95356	475.42856	420000	136.83614	23.580257	166.60072	108.930984	442.66666	0.034536827	-30.67627	30.658648	3306.450297355652	600.9342204932183
43	195.56812	65.1475	420.29276	114.13706	498.45	430000	150.1925	12.275644	165.23224	135.16318	454.0	0.03348367	-30.574322	30.557512	3383.2072167396545	599.2735262070515
44	178.8807	40.79306	298.71793	96.16643	448.91306	440000	182.31921	69.69824	280.15115	122.98931	515.0	0.033297583	-30.516333	30.498756	3466.919167280197	598.8314923654904
45	170.96805	46.723156	276.50644	104.28896	430.6087	450000	166.08748	52.437054	211.74937	92.65307	424.33334	0.03342548	-30.437307	30.420858	3547.4648320674896	597.8135178358466
46	178.68053	59.786945	324.2834	86.501	439.72726	460000	137.30945	54.29496	213.94049	94.78958	415.0	0.033575274	-30.409626	30.394033	3622.166163921356	595.8200862665108
47	178.26738	45.326546	279.4565	92.661316	432.08334	470000	141.48033	23.195717	174.2657	124.13814	393.66666	0.03347128	-30.318787	30.30512	3702.498100042343	594.7629925131798
48	163.7723	43.81305	290.20367	87.52564	418.41666	480000	194.37947	67.59453	280.1806	114.98021	444.0	0.032517638	-30.18014	30.168518	3781.976013660431	593.5601241790587
49	195.54185	43.205494	277.03214	99.51128	451.0	490000	136.6695	31.613499	170.43628	94.40948	322.66666	0.03165836	-30.043325	30.033422	3862.8910257816315	592.5727388060823
50	187.62383	42.67252	270.8643	92.28666	438.69565	500000	220.15796	9.804328	232.74574	208.82938	456.66666	0.03068603	-30.0044	29.995651	3943.659977197647	591.5489964365959
51	186.54161	53.20043	321.76425	103.83739	453.54544	510000	187.1602	42.70094	233.36237	130.38309	489.33334	0.030805381	-29.939457	29.93145	4019.9013998508453	589.8482771584411
52	191.25026	53.809376	310.64966	54.046375	434.91306	520000	187.11327	41.767498	243.1733	142.96678	482.66666	0.030205945	-29.892916	29.884335	4092.9993646144867	587.7127291068052
53	192.80687	59.664047	352.96524	98.97107	454.0909	530000	182.78682	29.315853	220.76967	149.4042	421.66666	0.029624797	-29.88433	29.876682	4174.7279052734375	586.8249601020003
54	184.67102	49.747467	265.04245	91.294106	445.0	540000	200.16261	43.345127	257.04208	151.93034	472.33334	0.030309679	-29.838463	29.830893	4252.397321939468	585.3608657572005
55	200.08902	77.03397	374.28333	66.34342	463.65216	550000	132.42174	24.44551	165.94481	108.34396	387.33334	0.031113232	-29.881084	29.87322	4338.322147369385	585.0161681966348
56	177.28264	41.673897	249.02063	97.25217	467.33334	560000	157.52988	21.556763	179.40942	128.20518	359.66666	0.032268133	-29.877197	29.86931	4414.698630094528	583.3708902478218
57	189.68184	57.35789	357.8457	99.99424	448.27274	570000	169.63037	25.392855	204.31084	144.21893	477.33334	0.03213025	-29.874546	29.866308	4497.307923793793	582.5460262626235
58	194.17049	43.70365	291.07877	107.21677	429.625	580000	186.85431	83.42395	304.51907	120.56634	507.33334	0.03173649	-29.937239	29.92866	4578.097683429718	581.471027456618
59	173.444	41.864586	270.7023	102.23007	423.78262	590000	128.03464	31.47921	171.04776	96.58754	391.66666	0.031447407	-29.960857	29.952194	4655.485783100128	579.9630593012955
60	175.9303	40.683147	252.87653	108.40692	426.17392	600000	115.47458	9.965647	126.35975	102.27919	365.66666	0.030583361	-29.952461	29.943663	4735.80074763298	578.8200912899441
61	174.13855	55.607536	303.64847	116.39431	434.70834	610000	191.3147	32.52193	232.63466	153.16159	463.33334	0.03080879	-29.988432	29.978224	4818.486755847931	577.9551052429637
62	170.03592	47.85943	272.28552	109.95778	433.65216	620000	179.40746	32.01119	214.19868	136.92694	492.33334	0.03152569	-29.99124	29.980793	4898.969030857086	576.8140954563695
63	185.69539	43.83883	253.19185	113.46905	434.36365	630000	159.46556	62.916042	243.55376	92.231705	437.33334	0.032388363	-29.964218	29.954008	4979.349776506424	575.654987279511
64	198.62262	52.750942	356.03152	140.2194	448.08694	640000	142.25273	23.034157	173.79094	119.422165	470.33334	0.032448985	-29.998087	29.987616	5057.154493331909	574.1977496554454
65	164.61989	47.83789	267.8477	70.19937	436.0	650000	197.12714	50.48769	241.30309	126.460625	442.0	0.032337613	-29.999573	29.988686	5138.669185876846	573.1592552414307
66	169.78548	53.034836	322.27182	79.21143	436.0435	660000	155.37547	11.378579	169.78181	141.96335	409.0	0.03229912	-29.960135	29.949734	5219.9789872169495	572.0886060180086
67	172.25142	52.470806	259.55545	57.311295	438.21738	670000	188.65434	5.735107	193.00606	180.55109	443.33334	0.0321991	-29.955889	29.945341	5296.9623963832855	570.5434619695986
68	202.01749	62.81516	376.0621	111.9488	463.1905	680000	173.3478	36.323215	218.59573	129.66362	469.66666	0.032138217	-29.981796	29.971933	5371.985269546509	568.7984402039472
69	179.19812	46.019123	295.7243	108.50789	450.21738	690000	186.85655	87.54595	304.97202	95.65861	464.33334	0.031904295	-29.973618	29.964558	5460.239356994629	568.4452083221381
70	188.52141	60.716755	334.93835	105.28242	465.5238	700000	185.38507	32.414433	221.04204	142.60707	451.33334	0.030969698	-29.939104	29.930666	5535.055025339127	566.6842048775582
71	200.59521	62.460575	372.55832	100.679344	461.5	710000	208.7397	14.809587	219.75247	187.80527	459.33334	0.030202137	-29.922295	29.914124	5617.201150178909	565.6758903317047
72	193.35362	57.741516	318.95242	79.86903	454.4762	720000	184.66258	52.93175	249.52548	119.86976	419.66666	0.030080272	-29.92934	29.920975	5695.1144189834595	564.2381877122102
73	190.1267	57.065243	304.74963	84.631424	474.4091	730000	240.17061	80.119774	351.7853	167.4699	527.6667	0.029700207	-29.949633	29.940788	5776.670302629471	563.1594106884852
74	178.89952	47.4098	301.4908	70.89268	433.0	740000	174.06749	44.68603	218.25029	112.845894	488.0	0.0292164	-29.957514	29.948133	5857.905645132065	562.0422982927915
75	186.45987	46.77129	254.41776	103.617195	424.73914	750000	251.35176	78.32573	326.9204	143.4289	612.6667	0.029349832	-30.005697	29.9957	5934.894753932953	560.5178377813762
76	199.57516	64.31946	334.46088	119.1891	474.38095	760000	132.75305	12.760818	145.41658	115.286476	398.33334	0.029191498	-30.070719	30.060564	6016.99266242981	559.4747562646866
77	168.59064	50.13386	261.1988	68.1511	429.95834	770000	151.3932	50.602276	202.61012	82.50073	375.0	0.028889662	-30.086378	30.076345	6099.222228050232	558.4352818315679
78	176.80348	44.88966	282.27393	91.78735	440.9091	780000	194.04549	23.14046	223.9121	167.52725	429.33334	0.028935581	-30.083946	30.07353	6177.888461112976	557.0660107022676
79	187.03064	59.2731	347.70352	82.62971	451.30435	790000	163.39056	21.680916	186.45377	134.36154	472.33334	0.029017972	-30.114761	30.106981	6257.768942594528	555.8060599853218
80	187.27885	80.06105	387.80148	79.7181	444.54544	800000	152.91565	29.778463	192.57703	120.822556	454.33334	0.029455516	-30.108633	30.101288	6336.419734716415	554.4367266625165
81	176.40437	46.860626	303.08502	93.70251	415.66666	810000	159.44106	33.610703	206.60876	130.76561	425.33334	0.030090228	-30.123917	30.116325	6417.331639766693	553.2637770705262
82	206.0751	58.00678	319.79388	110.558	499.65	820000	133.6421	64.305305	222.27292	71.68605	358.66666	0.03046753	-30.134481	30.126917	6497.2216691970825	551.9997270987285
