Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	153.73741	113.49778	518.3189	0.29909393	358.7037	10000	83.88732	87.77284	205.15392	0.29935834	195.0	0.05981078	-14.639979	14.643582	77.33252668380737	643.1488389889399
2	127.42581	79.833435	295.78088	0.29783583	318.875	20000	65.27871	34.379265	92.98735	16.825623	215.33333	0.023363672	-21.961828	21.939344	158.15407991409302	656.3394266963005
3	123.58683	80.680374	269.60535	5.937763	305.28125	30000	170.37744	42.625263	206.02934	110.45546	411.33334	0.03217664	-26.475573	26.43887	235.97137188911438	651.543174193965
4	109.69553	83.34909	288.78506	0.29912195	280.22223	40000	105.00391	46.755306	169.9469	61.76699	300.66666	0.04904357	-29.150452	29.102596	317.10159969329834	655.3433040618896
5	151.17683	78.67831	337.9996	0.29921705	357.89285	50000	191.26994	24.528679	220.03084	160.09389	423.0	0.056846734	-30.310549	30.259798	398.36180114746094	657.2969699263573
6	137.13124	80.19638	238.95677	0.2994861	332.43332	60000	126.34259	39.37249	163.45378	71.8376	358.66666	0.06651683	-31.16438	31.112206	472.7739131450653	648.750868068801
7	120.64815	87.68897	379.33267	5.32909	288.97144	70000	101.0698	50.356686	160.99265	37.78222	304.33334	0.07328243	-31.514519	31.459814	552.1688351631165	648.1410366257031
8	114.73048	79.24074	272.56146	0.29942745	305.9394	80000	176.91223	54.477676	236.64333	104.90559	431.0	0.06595222	-31.15367	31.106094	633.2013149261475	649.031346821785
9	116.30848	79.89716	292.88757	8.79324	291.08823	90000	136.57481	94.32121	265.05347	41.27644	337.33334	0.05956162	-30.630877	30.585917	711.7047996520996	647.1241778590062
10	169.29088	68.53228	293.60815	8.761746	408.20834	100000	61.826733	57.8892	143.25473	13.774445	165.33333	0.05699135	-30.57073	30.522217	788.5838050842285	644.0101067066192
11	152.7198	58.544342	247.43431	25.588825	384.30768	110000	155.16508	34.013153	203.25084	130.0444	385.0	0.054769278	-30.754395	30.706062	870.5187880992889	644.9752830266953
12	134.42049	73.43505	248.62245	11.069856	334.12903	120000	125.78936	88.63103	222.2462	8.241051	330.66666	0.056786165	-30.601963	30.55806	945.3609411716461	640.7446370972527
13	130.80942	80.771	295.0544	15.756495	322.19354	130000	116.941315	71.92829	202.29231	26.339584	285.0	0.05739467	-30.267471	30.228506	1019.548211812973	636.5640753904978
14	126.68	72.50844	288.31296	12.280781	331.4	140000	156.46999	32.31449	199.04556	120.80062	401.0	0.05653895	-29.780441	29.744678	1093.8957257270813	632.8968121903283
15	121.39233	69.030045	234.70576	0.29785264	314.59375	150000	78.21716	60.219032	146.94382	0.2994639	219.66667	0.05654095	-29.408066	29.372452	1174.2432539463043	632.7866418904728
16	125.02348	78.72768	286.8824	5.330459	322.63333	160000	138.80751	76.36871	195.7799	30.861382	323.33334	0.0570874	-29.100182	29.065502	1249.9298090934753	630.1729448169469
17	161.07878	83.24473	276.5723	0.29923055	375.92593	170000	221.98193	49.045265	260.50534	152.76909	505.66666	0.05650645	-28.999502	28.964062	1330.476657629013	630.0198286021457
18	156.74033	70.9478	294.13544	28.1952	390.23077	180000	165.26796	48.855373	233.51506	121.815895	402.0	0.056465708	-28.975319	28.941893	1411.0735187530518	629.756884795648
19	137.31279	70.98099	247.23538	0.29943612	348.2143	190000	135.90929	75.40355	202.60645	30.50407	315.66666	0.05681658	-28.741285	28.712692	1490.6178138256073	628.9361121725617
20	129.31284	75.8405	240.96289	0.2995038	324.48386	200000	232.20845	34.443085	275.50034	191.22734	506.33334	0.055013124	-28.379986	28.360252	1564.0630881786346	625.6252347946167
21	131.501	85.55819	294.23004	0.29923055	327.19354	210000	94.29191	78.02794	204.41801	33.169113	286.0	0.049955003	-27.848286	27.833225	1645.4951009750366	625.5493276158969
22	135.11366	89.62527	314.4423	0.2993019	328.13333	220000	139.93286	88.759544	211.98338	14.8911495	353.66666	0.048700683	-27.622196	27.607006	1723.4740958213806	624.1065282930027
23	134.40741	69.10016	239.6865	17.607122	330.5	230000	35.251667	20.893082	59.121777	8.235345	127.0	0.04937256	-27.57546	27.559803	1799.8732862472534	622.1301139121471
24	127.71892	70.11085	289.73203	12.223339	330.74194	240000	68.7954	15.763114	88.09551	49.483932	220.0	0.05028917	-27.427814	27.41174	1881.1030895709991	621.8090765151713
25	130.50179	84.86549	289.55637	0.29941693	318.19354	250000	79.645836	91.758484	209.40132	13.331567	174.33333	0.046458676	-27.419151	27.401295	1960.7507185935974	620.904393919309
26	134.16345	85.31529	298.36768	8.81921	328.3871	260000	121.23069	22.134108	151.5006	99.190834	355.66666	0.046829965	-27.610443	27.588194	2037.103674173355	618.9661160212296
27	124.39533	82.67895	262.86407	10.529852	303.30304	270000	103.137535	65.2264	175.356	17.328236	304.33334	0.049563024	-27.887299	27.862408	2116.499095916748	617.9654764923049
28	132.29886	59.6461	227.82042	12.219078	340.86206	280000	83.78242	49.70649	135.70332	16.782139	251.66667	0.050813634	-28.005102	27.979069	2193.666844844818	616.3159228075118
29	112.47822	68.32894	213.49968	11.073302	285.5	290000	21.36149	8.292524	32.615383	12.877733	74.666664	0.053084422	-28.074917	28.047405	2273.432621240616	615.3946920431894
30	122.438354	85.25603	324.93982	0.29910278	310.87878	300000	189.73328	35.60226	215.72299	139.39297	442.33334	0.05416428	-28.171852	28.143393	2350.325699329376	613.6961546381315
31	135.64111	72.03324	293.28137	0.29942873	343.55173	310000	130.3293	77.48577	215.96904	28.302639	346.66666	0.059196442	-28.251831	28.22125	2431.92377781868	613.2108877622953
32	121.528786	81.581154	294.26202	15.176002	308.42426	320000	84.81628	46.793827	147.43248	34.96359	288.0	0.06385953	-28.331638	28.302595	2511.870852470398	612.2685200572014
33	117.99935	66.29002	205.21129	0.29880276	309.03125	330000	197.60583	49.44136	267.2123	157.06892	466.33334	0.06794455	-28.255259	28.22726	2590.576999425888	611.0098274736694
34	130.05164	75.7446	250.09575	8.819216	330.76666	340000	83.122	88.72469	207.79398	8.506666	182.66667	0.0714645	-28.200588	28.17268	2669.7661135196686	609.8583373693858
35	120.18556	67.86459	234.61653	8.234586	317.3125	350000	74.37281	56.889393	154.67712	29.975967	231.0	0.07345327	-28.18803	28.159962	2747.9163706302643	608.4671961426735
36	120.36171	81.35995	263.381	5.1345587	310.09375	360000	121.5708	85.56531	214.91455	8.210533	269.0	0.072202235	-28.157589	28.130709	2826.954482316971	607.2717034039674
37	125.24985	85.509895	288.70557	0.29907814	310.625	370000	149.95297	97.899055	247.80894	16.204624	332.66666	0.06894186	-28.0302	28.008299	2907.3333134651184	606.349244906666
38	111.66142	79.28304	311.81357	7.033674	290.34286	380000	224.63286	43.83347	283.44376	178.25632	483.0	0.06941556	-27.881273	27.861153	2989.1655700206757	605.6993390434667
39	108.12577	73.166374	223.98125	0.29890668	280.94116	390000	138.0346	40.21477	194.4215	103.42003	397.66666	0.067686036	-27.72526	27.707462	3066.3327033519745	604.0937503442805
40	119.82664	73.03808	243.39035	10.534342	300.44116	400000	109.3937	97.60532	243.11337	12.877733	285.66666	0.065996185	-27.579512	27.561754	3146.4192695617676	603.0636931498846
41	117.41256	76.07182	256.05386	0.29787192	294.02942	410000	145.34593	23.834106	175.52396	117.25453	411.33334	0.065448426	-27.490871	27.472977	3228.616727590561	602.4126330962995
42	144.13516	78.0716	344.35507	5.0491843	365.7857	420000	193.9056	47.71143	244.73962	130.06337	419.33334	0.06601521	-27.416222	27.400074	3305.8339927196503	600.8222096146098
