Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	-32.5042	0.0	-32.5042	-32.5042	999.0	1000	-0.009042394	0.0064085345	-0.002427897	-0.017715301	999.0	2.6796828e-05	-0.010823442	-0.022527693	10.79793381690979	899.6478525122006
2	-0.9925476	0.0	-0.9925476	-0.9925476	999.0	2000	-0.0031629691	0.0015794106	-0.0015155661	-0.0052929455	999.0	6.748007e-08	-0.011680639	-0.005095199	22.686659574508667	944.899371278286
3	-1.0137984	0.0	-1.0137984	-1.0137984	999.0	3000	-0.011501785	0.009431539	-0.00369496	-0.024771146	999.0	2.2118275e-08	-0.011276984	-0.00027289658	35.26458120346069	978.9839570760727
4	-1.0667295	0.0	-1.0667295	-1.0667295	999.0	4000	-0.011253106	0.0052252673	-0.004526838	-0.017266357	999.0	1.9805958e-07	-0.010744471	0.0018265055	49.05676293373108	1021.1982817371686
5	-1.0366968	0.0	-1.0366968	-1.0366968	999.0	5000	-0.002393204	0.0008252515	-0.0018079535	-0.0035602844	999.0	2.5642112e-07	-0.010237613	0.0028996617	62.51098895072937	1040.807966029644
6	-0.8899441	0.0	-0.8899441	-0.8899441	999.0	6000	-0.025106644	0.0018325561	-0.022771252	-0.027247403	999.0	2.19877e-07	-0.009804932	0.0035425653	75.63525819778442	1049.2291095548205
7	-1.04312	0.0	-1.04312	-1.04312	999.0	7000	-0.0007497999	0.0005647084	-0.00011599074	-0.0014874869	999.0	2.1403935e-07	-0.009436032	0.0038979284	87.03915667533875	1034.7297839999198
8	-0.9446302	0.0	-0.9446302	-0.9446302	999.0	8000	-0.005978029	0.004382467	-0.0028653948	-0.012175753	999.0	1.9892524e-07	-0.009128105	0.0041646324	100.46999740600586	1044.887973022461
9	-1.0511566	0.0	-1.0511566	-1.0511566	999.0	9000	-0.026763037	0.006406376	-0.02214112	-0.035822395	999.0	1.7518609e-07	-0.0088173095	0.0042943708	114.31249284744263	1056.543799632567
10	-1.0177853	0.0	-1.0177853	-1.0177853	999.0	10000	-0.020781672	0.003089282	-0.017442375	-0.024891058	999.0	1.6532191e-07	-0.008450759	0.00426615	125.67583537101746	1045.2040308356286
