Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossQ	LossPi	Qval	Time	remian_mins
1	-1986.0305	0.0	-1986.0305	-1986.0305	999.0	1000	0.11332695	4.963228	-5.0187893	42.27373194694519	3522.1064333796503
2	-1983.7446	0.0	-1983.7446	-1983.7446	999.0	2000	9.144711e-05	13.496661	-13.488185	83.46418285369873	3476.283215856552
3	-1984.3112	0.0	-1984.3112	-1984.3112	999.0	3000	0.00011716722	22.189972	-22.181162	125.66758036613464	3488.671661608749
4	-1982.5873	0.0	-1982.5873	-1982.5873	999.0	4000	0.00019213026	30.631538	-30.62114	168.25975251197815	3502.6071814576785
5	-1991.3601	0.0	-1991.3601	-1991.3601	999.0	5000	0.00026331734	38.702427	-38.694202	210.37610030174255	3502.7620700240136
6	-1995.6371	0.0	-1995.6371	-1995.6371	999.0	6000	0.00026903732	46.361244	-46.362743	252.2545886039734	3499.331709689564
7	-1992.6945	0.0	-1992.6945	-1992.6945	999.0	7000	0.00024070588	53.690754	-53.689526	294.62342047691345	3502.511282002926
8	-1994.7919	0.0	-1994.7919	-1994.7919	999.0	8000	0.00029007104	60.712727	-60.71244	335.98449182510376	3494.2387149810793
9	-1996.4099	0.0	-1996.4099	-1996.4099	999.0	9000	0.000304508	67.413605	-67.41281	377.94458198547363	3493.1877938694424
10	-1993.3177	0.0	-1993.3177	-1993.3177	999.0	10000	0.00031658696	73.801476	-73.80063	419.32041931152344	3487.3481539408367
11	-1987.3728	0.0	-1987.3728	-1987.3728	999.0	11000	0.0003525943	79.86524	-79.86895	460.7222936153412	3482.641701283238
12	-1990.2458	0.0	-1990.2458	-1990.2458	999.0	12000	0.00038093168	85.623405	-85.62995	503.0002586841583	3484.6740143285856
13	-1988.6155	0.0	-1988.6155	-1988.6155	999.0	13000	0.00041513628	91.092125	-91.10085	544.3900766372681	3480.606810500072
14	-1981.4752	0.0	-1981.4752	-1981.4752	999.0	14000	0.00047670337	96.28577	-96.29448	586.7548787593842	3482.8093160646304
15	-1978.0725	0.0	-1978.0725	-1978.0725	999.0	15000	0.00064296415	101.208466	-101.22532	628.830178976059	3483.0204913285042
16	-1967.4138	0.0	-1967.4138	-1967.4138	999.0	16000	0.00089760026	105.83847	-105.86134	671.4153470993042	3485.7646770238875
17	-1965.2681	0.0	-1965.2681	-1965.2681	999.0	17000	0.00090541015	110.2531	-110.26687	712.9220218658447	3482.833759762259
18	-1966.2819	0.0	-1966.2819	-1966.2819	999.0	18000	0.0007613207	114.49097	-114.49813	754.544753074646	3480.6869998313764
19	-1965.0762	0.0	-1965.0762	-1965.0762	999.0	19000	0.00087994273	118.526436	-118.53391	796.7629241943359	3481.2948468526206
20	-1966.8461	0.0	-1966.8461	-1966.8461	999.0	20000	0.0009797618	122.36715	-122.37292	838.2271530628204	3478.6426852107047
21	-1965.5227	0.0	-1965.5227	-1965.5227	999.0	21000	0.0012789812	125.94986	-125.98441	879.5060114860535	3475.4447866579844
22	-183.03601	43.011505	-151.69392	-303.07858	92.7	22000	2.2236428	128.60873	-128.97304	921.2036583423615	3474.054402445663
23	-242.1605	116.805786	-166.1509	-519.3647	122.28571	23000	2.3507311	130.985	-131.19026	962.3193657398224	3470.625712526881
24	-1161.8813	834.29114	-327.59018	-1996.1725	582.0	24000	0.5502453	132.85991	-133.16844	1005.6071956157684	3474.931531516711
25	-1992.7261	0.0	-1992.7261	-1992.7261	999.0	25000	0.1960137	134.15443	-134.60599	1047.4014961719513	3473.881628970305
26	-250.78336	56.329514	-208.78998	-359.04218	126.875	26000	0.4305379	134.01291	-134.6812	1089.74596118927	3474.6130839457883
27	-232.2627	5.680311	-222.8067	-241.06839	117.75	27000	0.4667745	132.48949	-133.3142	1132.1672954559326	3475.4740495693536
28	-234.28986	9.078819	-222.69987	-255.06108	118.77778	28000	0.38186666	129.90472	-130.96101	1175.7779381275177	3479.742802601201
29	-220.98468	5.5401525	-212.90956	-230.53659	112.111115	29000	0.42158785	125.681274	-127.00211	1218.4860916137695	3481.0887134552004
30	-208.47595	14.110354	-193.05891	-228.55725	105.77778	30000	0.5419564	120.90719	-122.312325	1260.6213953495026	3480.7157416039045
31	-201.12396	13.65119	-185.26848	-222.45541	102.1	31000	0.95880973	115.92279	-117.31529	1303.270147562027	3481.6932060407053
32	-191.35886	6.636851	-183.21373	-206.62885	97.2	32000	1.3037834	111.601715	-112.750595	1345.686378955841	3481.9635055482386
