Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	LossAlpha	Alpha	Time	remian_mins
1	57.831726	22.43094	89.03444	28.927639	131.14285	1000	24.319632	10.798496	37.23294	10.802798	60.333332	20.299568	19.578976	1.6654576	-0.4423973	0.8809483	10.885294914245605	362.66171839634575
2	41.456745	10.485791	62.02129	21.65834	111.44444	2000	68.793	35.79554	117.09908	31.529928	119.333336	10.817267	10.822634	-1.9791597	-1.4283558	0.6602783	25.63156032562256	426.7654635429382
3	69.2514	40.98813	138.14796	10.030448	147.28572	3000	36.175545	13.203166	54.825066	26.055885	71.333336	5.9606075	5.962259	-4.970301	-2.4575243	0.4869171	41.71823024749756	462.8405745757951
4	50.686493	33.737213	131.9568	19.831566	123.0	4000	54.425922	14.056587	65.941795	34.635166	85.666664	3.3245156	3.3265693	-7.3897915	-3.4577494	0.36022654	56.523555755615234	470.08756410280864
5	47.89077	17.611273	70.43283	19.808823	99.4	5000	71.343155	22.715176	99.48039	43.851025	112.0	1.8968745	1.89584	-9.136712	-4.4194965	0.2682521	71.50882363319397	475.5336708188057
6	41.57906	14.857596	61.846123	11.685839	111.875	6000	357.79703	261.38345	702.1849	69.2857	489.66666	1.1467168	1.142238	-10.402466	-5.2597766	0.2025323	89.89899206161499	497.9405229700936
7	110.08409	40.548996	160.22824	47.0546	220.25	7000	62.21402	15.714291	78.72004	41.074123	109.333336	0.7234701	0.71497923	-11.52128	-5.868307	0.1561477	103.0784866809845	489.1319584040414
8	317.0827	211.1239	528.2066	105.9588	562.5	8000	619.9413	323.44183	906.52264	167.90268	744.6667	0.44921744	0.43860102	-13.425473	-6.129342	0.11759008	126.32658243179321	524.2553141236306
9	192.12405	0.0	192.12405	192.12405	299.0	9000	308.85513	214.91202	572.51794	46.09548	348.33334	0.33865398	0.33018607	-14.474981	-5.836139	0.096655905	136.46527767181396	503.15252865023086
10	452.57605	238.9668	691.54285	213.60924	676.0	10000	737.7469	169.30827	884.28046	500.4866	832.3333	0.2399246	0.22170262	-17.09546	-8.728457	0.078024134	161.97635221481323	537.2215650161107
11	847.3681	0.0	847.3681	847.3681	1000.0	11000	857.4768	52.544453	930.62744	809.5827	1000.0	0.14862707	0.12061511	-22.173615	-19.79526	0.048788495	186.26514267921448	561.3354043819688
12	731.7999	0.0	731.7999	731.7999	1000.0	12000	599.8264	104.62111	742.6152	494.86282	782.3333	0.19399038	0.15863462	-24.748802	-18.774637	0.03519667	208.45825099945068	575.5763897458712
13	643.9842	0.0	643.9842	643.9842	816.0	13000	753.75433	143.4881	912.1675	564.71967	913.3333	0.24814534	0.20199555	-28.030737	-18.080761	0.027209707	229.96314430236816	585.8163664536598
14	794.1088	0.0	794.1088	794.1088	1000.0	14000	862.56903	32.614296	886.72046	816.4629	1000.0	0.2919931	0.24204531	-30.551859	-17.510233	0.02125615	254.44629573822021	601.5837398120335
15	799.91864	0.0	799.91864	799.91864	1000.0	15000	865.8535	26.145962	901.78284	840.32385	1000.0	0.32767028	0.27930903	-32.685596	-17.124296	0.016222531	278.650865316391	614.5799619555473
16	522.7616	282.19907	804.9607	240.56255	679.0	16000	788.27374	51.443092	836.0016	716.8585	1000.0	0.37575462	0.32786325	-36.304688	-15.522812	0.011882251	306.7758514881134	634.003423945109
17	464.1098	180.08209	644.1919	284.0277	572.5	17000	786.0791	105.62925	861.8566	636.702	1000.0	0.4551418	0.40532756	-38.521553	-12.407657	0.008689017	332.43904733657837	646.3006161808968
18	722.55646	0.0	722.55646	722.55646	1000.0	18000	720.645	74.14111	807.4963	626.347	1000.0	0.52485967	0.47363186	-40.92942	-10.179226	0.0067763072	357.0728511810303	655.2948043315499
19	652.6599	0.0	652.6599	652.6599	1000.0	19000	891.1237	10.363062	905.7272	882.7528	1000.0	0.5812758	0.5380946	-43.15181	-7.571024	0.0054780436	381.728972196579	663.3378000282405
20	790.3348	0.0	790.3348	790.3348	1000.0	20000	682.42737	47.422504	734.6035	619.8485	1000.0	0.6341696	0.59399897	-45.55648	-5.27976	0.004560304	405.9207501411438	669.7692361593247
21	180.59569	0.0	180.59569	180.59569	299.0	21000	739.0087	27.792294	778.2966	718.3828	1000.0	0.8672491	0.81488	-46.94522	-4.8457007	0.0040842174	422.7980878353119	664.0614396339371
22	228.54984	249.50375	657.1348	17.152103	379.0	22000	386.23035	264.8454	760.24805	181.96744	512.0	1.1471776	1.1116834	-48.884804	-1.359869	0.0036782185	451.61113381385803	676.7324399980631
23	187.39954	147.93062	396.51636	77.56728	283.33334	23000	42.397575	15.881723	61.64939	22.753214	108.0	1.5027323	1.4203293	-51.21274	0.24806741	0.0034734877	464.8850612640381	665.998380220973
24	188.44395	64.06702	252.51097	124.37693	429.0	24000	474.1588	141.61554	576.96313	273.90808	761.6667	1.7885344	1.7423061	-52.282734	1.047852	0.0036718894	485.22493410110474	665.8364360411962
25	416.79382	89.388336	506.18216	327.4055	614.0	25000	293.0255	94.596985	395.0993	167.09811	429.0	1.8056254	1.7668407	-53.487072	-0.06796598	0.003949109	505.70485520362854	665.8447247624397
26	194.95685	0.0	194.95685	194.95685	297.0	26000	340.8359	227.23697	632.8378	78.6191	497.33334	1.684811	1.6606773	-54.571327	-0.24240163	0.0038171273	517.0085678100586	654.2146862204258
27	577.5334	157.76277	735.29614	419.7706	796.5	27000	287.60184	255.6795	637.7465	34.381958	418.66666	1.7818624	1.7924256	-55.905773	-0.22130011	0.0037590358	542.0924050807953	660.2150082363023
28	51.863937	0.0	51.863937	51.863937	183.0	28000	471.39993	190.40121	737.6153	303.2784	663.0	2.0547028	2.0585003	-57.00823	0.53230685	0.0036408112	554.2650322914124	650.601572498821
