Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	47.16988	24.39228	95.11767	15.736949	106.28571	1000	8.914817	1.97671	11.385645	6.547003	32.0	0.80004734	-11.650139	11.418638	1.1290688514709473	37.61678673823675
2	16.979643	23.578875	124.24698	4.6052227	54.217392	2000	13.500323	7.8107405	23.568985	4.531779	37.0	0.4430638	-11.004611	10.771883	2.860482931137085	47.62702889442444
3	12.191627	5.431546	25.058287	5.104253	42.173912	3000	14.611312	1.6242468	16.843765	13.026706	47.333332	0.6691751	-12.642748	12.341319	4.226545333862305	46.891164463096196
4	20.894672	11.925788	62.915874	10.308907	61.0	4000	35.078117	9.322553	47.945736	26.157686	82.333336	0.7971976	-13.973043	13.417118	5.5658650398254395	46.28943829933802
5	106.52954	156.42267	418.45853	16.219604	206.0	5000	132.87448	76.36468	193.83122	25.191502	210.66667	0.73527503	-16.936655	16.153242	7.005218029022217	46.58469355106354
6	171.06766	0.0	171.06766	171.06766	220.0	6000	333.58307	352.9337	823.7566	7.005515	459.66666	0.87680995	-19.687366	18.871902	7.54380202293396	41.7842785636584
7	304.09808	364.01688	818.4914	29.235773	391.33334	7000	269.7695	345.98923	759.0348	19.899275	381.0	0.8351259	-24.29195	23.451445	9.200692415237427	43.65947275729407
8	282.6809	354.03976	782.51074	7.391677	390.66666	8000	250.33873	327.00275	712.75806	14.388242	379.66666	0.964384	-30.339888	29.491863	10.913503170013428	45.29103518724442
9	720.23193	0.0	720.23193	720.23193	1000.0	9000	355.8761	355.29535	843.6241	7.462048	470.66666	1.025935	-35.553024	34.72186	12.572314023971558	46.354584810468886
10	895.17847	0.0	895.17847	895.17847	1000.0	10000	249.87779	323.41098	707.07587	10.350207	372.0	1.132344	-40.163452	39.271694	15.656288385391235	51.92668743928274
11	675.2755	0.0	675.2755	675.2755	1000.0	11000	241.39989	320.9599	695.1467	4.1233354	355.0	1.30922	-45.48698	44.504974	18.99252414703369	57.236558532714845
