Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	LossAlpha	Alpha	Time	remian_mins
1	47.16988	24.39228	95.11767	15.736949	106.28571	1000	30.277441	4.3551326	35.48599	24.826406	57.666668	39.523674	40.15436	5.7202187	-0.039204888	1.0078778	7.743658542633057	257.9928427855174
2	60.373074	33.88419	148.03772	26.580242	136.11111	2000	70.95511	15.156706	81.80743	49.52086	134.66667	4.306916	4.2805753	-17.974117	-2.7666118	0.74019974	24.998667001724243	416.2277857303619
3	53.73881	12.27505	65.77812	27.206161	124.0	3000	47.750957	3.9715202	52.876316	43.198936	118.0	3.0197592	2.965243	-35.669693	-6.381381	0.49483848	39.94208025932312	443.1351798521148
4	62.658314	28.231684	113.66576	31.685667	127.25	4000	72.667656	38.518875	126.0852	36.71334	138.66667	3.7095702	3.5624778	-45.193134	-8.958784	0.36280125	55.887038707733154	464.7938659707705
5	36.23015	25.440907	81.68198	6.2273564	94.6	5000	80.60853	72.54119	180.02687	8.982892	160.66667	3.6903946	3.7022655	-51.049667	-11.106243	0.27084678	71.56208801269531	475.88788052797315
6	102.14354	27.875557	132.1757	65.10997	201.4	6000	137.49054	79.02829	238.50856	45.572292	206.66667	3.893226	4.001579	-53.76543	-12.803323	0.20399761	87.52994751930237	484.81864847739536
7	105.14258	70.28519	242.21764	46.227077	189.4	7000	182.63567	75.03988	282.9108	102.41242	292.0	3.4811342	3.5596063	-55.816055	-13.83807	0.15466063	104.56718873977661	496.1962041258812
8	145.46439	0.0	145.46439	145.46439	228.0	8000	827.07007	16.46242	840.9828	803.9476	1000.0	3.4843981	3.5298157	-56.98169	-14.243068	0.13099939	120.11677598953247	498.48461639881134
9	359.6329	266.10876	735.96436	170.13747	527.3333	9000	318.9197	337.85883	792.73834	28.67359	450.66666	3.810074	3.8066843	-62.929802	-14.87319	0.10276966	145.15736985206604	535.2005953272184
10	352.8435	0.0	352.8435	352.8435	588.0	10000	436.9563	210.67679	632.95746	144.62425	745.3333	5.278581	5.4429574	-65.40879	-14.808652	0.07602261	162.0883047580719	537.5928742845853
11	516.6224	0.0	516.6224	516.6224	1000.0	11000	312.57553	200.60922	481.54037	30.7248	575.3333	5.478553	5.811122	-71.33616	-14.404901	0.06173645	181.52137207984924	547.0394055214796
12	228.05115	165.68922	451.75473	55.80973	471.66666	12000	39.041195	45.709652	103.67518	5.7785277	73.0	6.85074	7.451311	-77.662834	-12.403433	0.0454281	200.71853590011597	554.2061770465639
13	241.81844	144.63573	433.77103	84.64663	414.0	13000	137.00476	42.69887	194.674	92.66257	235.66667	9.916273	10.864722	-82.30685	-10.122525	0.033438597	219.6909375190735	559.6485781480104
14	32.6817	21.547466	54.229168	11.134237	102.0	14000	24.011505	15.6487255	46.090336	11.661428	83.666664	15.154709	15.670406	-85.174515	-8.19532	0.028212959	225.97727704048157	534.2748450415476
15	224.88588	228.68732	620.93634	87.756744	393.25	15000	55.767303	53.54869	131.3466	13.852052	128.0	14.795226	15.984773	-88.65203	-6.9210196	0.023418766	247.04741740226746	544.8768018338416
16	140.73955	17.460896	154.04301	110.853516	262.0	16000	21.227343	4.1657667	25.448624	15.557768	71.0	22.703566	24.047203	-92.97568	-2.4758976	0.018792128	263.0433449745178	543.6229114691416
17	65.7926	71.461494	236.76245	18.212446	169.71428	17000	47.931942	15.266748	59.100697	26.345858	108.333336	36.424236	37.446278	-98.7013	1.6562325	0.018797753	279.46732878685	543.3173638168504
18	31.840055	18.861303	62.89428	12.602493	92.545456	18000	36.998978	5.777971	41.413803	28.836786	96.333336	45.87511	47.695354	-104.345085	2.3225973	0.02293803	294.148859500885	539.8176270074315
19	21.529802	7.8963256	33.804493	4.184145	79.61539	19000	53.512894	28.083408	75.747284	13.895864	102.0	80.78214	82.918846	-110.8485	0.4009399	0.026689366	309.7755517959595	538.3029528233043
20	26.660082	17.376514	60.016235	9.973251	82.90909	20000	77.87838	53.46703	135.55379	6.6939464	134.66667	131.2575	134.24252	-118.00557	-0.16628784	0.025865838	324.11500096321106	534.789749622345
21	31.715082	27.28163	109.580986	8.148485	88.666664	21000	18.721128	21.274506	48.788937	2.7641237	63.666668	170.07074	174.44934	-124.6989	1.3491915	0.029389733	339.60562658309937	533.3964548576446
22	46.975853	17.996403	81.35105	25.817043	112.333336	22000	10.851922	3.142542	15.2952	8.550786	61.333332	170.67195	176.42476	-128.69875	1.2448798	0.036172364	354.18121337890625	530.7351804372036
23	31.67293	15.930151	54.394466	5.739462	89.454544	23000	22.591759	11.747681	39.141922	13.059262	81.666664	168.97066	166.97194	-132.40036	1.1861513	0.04498612	368.58750772476196	528.0416676505752
24	35.490154	23.22178	75.093445	4.3210707	98.6	24000	27.938341	2.260004	30.424725	24.95594	94.666664	175.71101	172.89336	-134.92094	0.4312743	0.050786436	383.78207302093506	526.6342877811855
25	32.845448	14.178539	63.701942	16.955524	101.1	25000	37.194202	23.499424	70.361786	18.80268	108.333336	194.93626	189.44817	-140.80824	-0.35436872	0.051199317	398.49168395996094	524.6807159582773
26	24.963676	16.110977	61.59315	6.3825994	84.25	26000	33.827347	15.389503	51.44831	13.95425	92.0	224.80481	220.8409	-147.9583	0.33298546	0.049551286	413.9159164428711	523.7628315228682
27	30.71508	22.73799	99.92868	13.268095	91.36364	27000	18.37079	3.2477677	22.96071	15.92927	72.0	243.96457	238.91896	-154.0115	0.5492248	0.055904873	428.24601578712463	521.5613501644428
28	21.570704	13.456131	53.208797	9.874571	81.0	28000	12.499817	8.189084	22.583935	2.5257618	72.0	242.45	235.7908	-159.60814	0.6231208	0.06612195	442.470983505249	519.3766536082541
29	29.684368	23.112782	89.368965	9.331288	88.545456	29000	13.418101	4.6195693	19.932602	9.734722	66.333336	260.96213	255.76712	-165.86713	0.2468339	0.074076705	456.73219203948975	517.3673267989323
30	25.346746	18.15809	78.03441	12.260664	91.0	30000	14.269211	5.775278	22.379725	9.38003	62.333332	256.31	248.73828	-171.31906	-0.19452465	0.07440028	470.9721796512604	515.4528844634692
31	27.155117	13.888016	50.040337	10.334006	94.3	31000	51.164597	24.357164	76.75121	18.398779	109.333336	244.95398	237.13762	-176.14621	-0.043687176	0.07082913	485.6713764667511	514.1327625727141
32	22.036314	7.724319	34.566772	9.75582	82.0	32000	24.584297	3.6285484	29.540302	20.953882	80.333336	230.64992	225.13275	-181.65994	0.10016646	0.0720289	501.16937589645386	513.6986095607281
33	31.734394	16.313908	63.226704	10.473465	88.90909	33000	53.703236	11.395309	69.740715	44.31369	180.66667	220.2698	215.13995	-183.94316	0.12026108	0.07617117	517.3430829048157	513.9463849484318
