Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossQ	LossPi	Qval	Time	remian_mins
41	-135.52145	1.4904861	-133.88567	-138.5418	68.666664	41000	1.8328756	121.3554	-122.937836	21541.77285718918	43425.06162552892
42	-136.02144	2.219651	-133.96712	-140.49637	68.92857	42000	1.2994615	114.45813	-116.10599	21583.91134619713	42465.48906922435
43	-136.14418	1.5137627	-133.87491	-138.51033	68.933334	43000	0.9867202	107.66531	-109.325096	21626.681982517242	41551.72968501472
44	-136.46788	1.039456	-134.25829	-138.28825	69.14286	44000	0.87483233	100.97828	-102.654854	21668.88070011139	40678.39876884547
45	-138.84012	1.5764385	-136.08629	-142.42639	70.35714	45000	0.8255861	94.33477	-96.073	21711.864731550217	39845.29249808568
46	-140.97551	2.3943431	-137.84645	-146.3893	71.42857	46000	0.7747174	87.92898	-89.676575	21754.99754714966	39048.644148036015
47	-142.27599	1.7313128	-139.82425	-144.38948	72.07143	47000	0.68778175	81.85202	-83.55906	21798.31927037239	38286.19693126044
48	-143.31227	2.0966868	-141.717	-148.39163	72.64286	48000	0.5531966	76.53872	-78.141785	21841.881150007248	37555.90119959579
49	-144.84567	2.0764215	-141.81143	-150.35992	73.42857	49000	0.42826977	71.96956	-73.425125	21885.20507669449	36854.98310704572
50	-145.79588	1.3391663	-143.73738	-148.32666	73.92308	50000	0.3701529	68.791084	-70.08708	21927.48262143135	36180.34632536173
51	-146.60875	1.6571459	-143.86497	-150.31668	74.28571	51000	0.37215722	66.455696	-67.613655	21970.443928956985	35533.24411908762
52	-145.67189	1.4409875	-143.87672	-147.77455	73.84615	52000	0.3036644	64.988594	-66.02865	22012.95783305168	34910.29338395504
53	-146.75618	3.2422936	-142.08836	-153.54996	74.42857	53000	0.21069919	64.120575	-65.030975	22055.61644387245	34311.04859994875
54	-142.84332	4.4670153	-138.44513	-153.6573	72.38461	54000	0.1889919	63.94216	-64.75377	22098.08374261856	33733.67968857759
55	-140.24055	5.2462525	-134.27634	-149.74174	71.07143	55000	0.15559672	64.052086	-64.804	22140.786524295807	33177.633140194775
56	-139.023	14.467266	-134.0388	-192.67897	70.46667	56000	0.1338242	64.40914	-65.10633	22183.980103731155	32642.142152632987
57	-138.22481	15.689324	-132.10762	-194.58289	70.07143	57000	0.12829642	64.87983	-65.520096	22226.204843521118	32124.01477822365
58	-150.91083	27.822979	-132.03365	-192.67863	76.61539	58000	0.13156983	65.498924	-66.09521	22268.662163972855	31624.059889182143
59	-154.5958	27.640215	-130.0144	-190.6649	78.46154	59000	0.13297129	66.21465	-66.78948	22311.571672439575	31141.65978348134
